ID06,ED_Name,NUTS4,NUTS3,NUTS2,NUTS1,HP2006abs,HP2011abs,HP2016abs,HP2006rel,HP2011rel,HP2016rel,TOTPOP02,TOTPOP06,TOTPOP11,TOTPOP16,popdep_T,popdep_L,popdep_M,popdep_H,share_T,share_L,share_M,share_H,share,POPCHG06,POPCHG11,POPCHG16,AGEDEP06,AGEDEP11,AGEDEP16,LONEPA06,LONEPA11,LONEPA16,EDLOW_06,EDLOW_11,EDLOW_16,EDHIGH06,EDHIGH11,EDHIGH16,HLPROF06,HLPROF11,HLPROF16,LSKILL06,LSKILL11,LSKILL16,UNEMPM16,UNEMPF16,PEROOM06,PEROOM11,PEROOM16,LARENT06,LARENT11,LARENT16,PRRENT06,PRRENT11,PRRENT16,OHOUSE16
15001,ARKLOW NO. 1 URBAN,Wicklow,Mid East,Southern & Eastern Region,Ireland,-5.6,-13.6,-12,-5.6,-7.5,-7.8,"8,463","9,128","9,817","9,976",9976,7280,4238,1641,0.21,0.32,0.4,0.46,0.35,0.1,7.3,0,31.1,33.6,35.8,27.2,28.3,27.3,19,16.8,14.2,22.9,20.5,23.1,23.3,25.1,25.9,27.1,24.4,24.2,23.2,18.4,0.5,0.5,0.5,10.2,10,11,13.1,19.3,18.5,69.1
15002,ARKLOW NO. 2 URBAN,Wicklow,Mid East,Southern & Eastern Region,Ireland,-1.6,-7.9,-7.3,-1.6,-1.6,-2.9,"2,283","2,584","2,953","3,013",3013,1766,811,241,0.06,0.08,0.08,0.07,0.07,-0.1,0.3,0,32.6,32.9,34,22.1,28.3,24.4,15.7,11.9,10.4,31.9,29.6,34.2,34.2,33.1,33.7,19.6,20.6,18.1,20.1,19.3,0.5,0.5,0.6,14.6,10.2,12.6,17.5,26.1,26.5,59.7
15003,BRAY No. 1,Wicklow,Mid East,Southern & Eastern Region,Ireland,-7.2,-11.9,-7.7,-7.2,-5.5,-3.1,"1,667","1,700","1,746","1,839",1839,1116,484,117,0.04,0.05,0.05,0.03,0.04,0,0.1,0.1,27.2,29,32.4,48.1,33,28.4,30.1,25.7,19.1,25,23.2,31.7,21.6,24.4,26,25.5,27.8,24.9,18.2,14.6,0.5,0.5,0.6,22.1,22.2,23.6,17.8,27.6,25.7,49.6
15004,BRAY No. 2,Wicklow,Mid East,Southern & Eastern Region,Ireland,5.1,-1.5,2.7,5.1,5.2,6.8,"6,145","6,305","6,192","6,414",6414,1689,384,43,0.14,0.07,0.04,0.01,0.06,0,0,0,31.6,34.4,36.8,18.2,16,14.5,12.1,10.5,7.2,43.8,40.2,49.6,42.7,46.5,47.7,12.5,13.1,12.8,9.1,7.9,0.5,0.5,0.6,2.7,2.1,2.5,23.5,28,27.7,68
15005,BRAY No. 3,Wicklow,Mid East,Southern & Eastern Region,Ireland,1.2,-4.4,-2.8,1.2,2.3,1.1,"6,607","6,557","6,424","6,459",6459,2963,1235,320,0.14,0.13,0.12,0.09,0.12,0,0,0,28.3,32.2,35.9,23.9,23.3,19.1,16.5,14.8,12.5,34.2,32,37.8,37.6,39.2,39.7,15.3,15.3,14.7,12.3,9.3,0.5,0.5,0.5,3.8,3.5,4.6,11.1,17.7,17.7,76.8
15006,RATHMICHAEL (BRAY),Wicklow,Mid East,Southern & Eastern Region,Ireland,-17.5,-20.8,-18.3,-17.5,-15,-13.7,"2,405","2,431","2,380","2,415",2415,2079,1579,806,0.05,0.09,0.15,0.22,0.13,0,0,0,33.8,33.7,32,43.3,49.3,43.7,31.4,27.4,22.9,12,10.4,14.7,12.8,15.7,15.9,30.4,30.5,32.4,30.3,25.4,0.6,0.6,0.7,48.1,48.4,51.2,3.5,8.9,6.1,42
15007,WICKLOW URBAN,Wicklow,Mid East,Southern & Eastern Region,Ireland,-2.4,-9.9,-8.2,-2.4,-3.7,-4.1,"6,834","6,841","6,761","6,762",6762,4206,2094,681,0.14,0.19,0.2,0.19,0.18,0,0.1,0,30.9,33,34.6,29.2,27.5,26.8,15.3,13.3,11.8,29.6,27.3,31.1,30.5,32.4,34.3,18.5,18.2,18.5,22.4,16.1,0.5,0.5,0.5,12.4,14.9,16.6,14.4,16.7,16,65.9
15008,BALLINGUILE,Wicklow,Mid East,Southern & Eastern Region,Ireland,8.4,-6.2,-2.7,8.4,0.1,1.2,118,144,138,136,136,61,18,2,0,0,0,0,0,0.2,0,0,36.1,35.5,32.4,4.2,11.1,13.3,13.5,9.4,11,41.6,35.3,38.5,45.1,42.8,45.6,6.8,14.7,13.4,17.1,7.7,0.5,0.5,0.5,0,0,0,5,4.4,4.3,93.5
15009,BALTINGLASS,Wicklow,Mid East,Southern & Eastern Region,Ireland,-4.4,-12.4,-11.2,-4.4,-6.2,-7,"2,139","2,392","2,614","2,720",2720,1976,1065,353,0.06,0.09,0.1,0.1,0.09,0.3,0.3,0,37.8,36.9,36.8,22.7,29.6,24.1,22,17.8,17.2,23.5,21.9,23.8,28.8,26.9,25.6,22.6,23.9,22.4,20,17.9,0.5,0.5,0.5,9.6,13.6,13.6,8.4,15.5,18,66.5
15010,BLESSINGTON,Wicklow,Mid East,Southern & Eastern Region,Ireland,5.8,-4.7,-2.2,5.8,2,2.1,"3,498","4,001","4,399","4,606",4606,1953,667,128,0.1,0.09,0.06,0.04,0.07,0.1,0.3,0.1,30.2,32.7,35.6,18.6,19.6,19.4,12.1,10.7,9.8,33.3,29.8,34.9,36.6,36.8,38.3,15.4,16.4,17.2,11.5,10.2,0.5,0.5,0.5,6.7,9.1,10.5,10.7,16,18.6,70
15011,BURGAGE,Wicklow,Mid East,Southern & Eastern Region,Ireland,7.1,-2.8,1.8,7.1,4,6.1,"1,167","1,542","1,786","2,065",2065,586,131,13,0.04,0.03,0.01,0,0.02,0.5,0.2,0.2,28.9,36.1,37.9,7.8,12.9,15.5,11,8.4,8.4,35.6,31.3,38.6,42,41.9,41.7,13.2,12.7,11.3,8.3,6.4,0.5,0.5,0.6,0.4,0.3,1.6,8.3,13.9,16.6,81
15012,DONAGHMORE,Wicklow,Mid East,Southern & Eastern Region,Ireland,3.9,-9.8,-4.9,3.9,-3.4,-0.8,368,373,396,439,439,234,79,12,0.01,0.01,0.01,0,0.01,0,0.1,0.1,27.9,35.4,37.4,9.5,14.3,12.2,15.7,17.5,11.8,20.8,21,30.3,34.6,31.8,36.4,17.5,15.4,12.6,11.5,15.4,0.5,0.5,0.5,2.7,2.3,2.3,6.3,14.3,11.5,82.4
15013,DONARD,Wicklow,Mid East,Southern & Eastern Region,Ireland,3.8,-7,-5.5,3.8,-0.5,-1.3,482,483,508,510,510,282,99,16,0.01,0.01,0.01,0,0.01,0,0.1,0,29.4,32.3,34.1,20.9,13.2,11,16.2,12.1,11.3,26.3,27.5,28.9,33.5,34.6,32.4,20.3,18.9,21.5,11.1,16,0.5,0.5,0.5,12.7,10.5,11.7,8.2,10.4,12.5,71.5
15014,DUNLAVIN,Wicklow,Mid East,Southern & Eastern Region,Ireland,-6.9,-13.9,-11.5,-6.9,-7.7,-7.5,"1,312","1,300","1,327","1,359",1359,935,586,269,0.03,0.04,0.05,0.07,0.05,0,0,0,34.4,35.1,37.1,21.5,22.7,17.7,21.5,21.4,17,23.3,17.3,23.5,24,25.3,29,24.3,22.8,22.6,24.4,17.8,0.5,0.5,0.5,14.9,14,14.1,6.3,10.6,12.5,71.9
15015,EADESTOWN,Wicklow,Mid East,Southern & Eastern Region,Ireland,-0.1,-8.7,-5.7,-0.1,-2.1,-1.7,165,186,201,194,194,110,40,7,0,0,0,0,0,0.1,0.1,0,32.8,37.8,35.1,5.3,13,8.3,23,21.3,16.1,23.8,21.3,25.8,35.5,38.8,30.4,17.4,23.9,23.9,8.5,11.1,0.5,0.5,0.5,5.6,1.6,1.6,5.6,4.9,4.8,90.5
15016,HARTSTOWN,Wicklow,Mid East,Southern & Eastern Region,Ireland,2.2,-6.6,-1.7,2.2,0.1,2,278,283,276,267,267,112,31,4,0.01,0,0,0,0,0,0,0,39.9,39.5,36.7,12.5,8.1,12.9,22.5,21.8,7.4,25.4,23.5,31.8,38.9,39.1,46.8,12,15.3,15.1,9.3,8.3,0.5,0.4,0.5,0,0,0,4.5,3.2,4.3,94.6
15017,HOLLYWOOD,Wicklow,Mid East,Southern & Eastern Region,Ireland,2.2,-5.5,-1,2.2,1,2.8,661,671,727,766,766,298,77,9,0.02,0.01,0.01,0,0.01,0,0.1,0.1,32.8,37.1,36.4,8.9,11.4,9.8,19.1,13.7,11.9,27.8,29.2,34.9,43.1,41.4,41.4,10.7,11.4,13.5,7.9,9.8,0.5,0.5,0.5,0.5,0.4,0,7.4,12.1,12,86
15018,HUMEWOOD,Wicklow,Mid East,Southern & Eastern Region,Ireland,-4.6,-11.4,-2.9,-4.6,-5,1.2,296,301,304,314,314,142,41,5,0.01,0.01,0,0,0,0,0,0,33.2,35.2,34.1,21.6,25.7,20,24.5,22.4,17.7,17.3,20.4,30.5,23.9,31.6,35.7,25.6,24.6,21.9,10.1,5.6,0.5,0.5,0.4,5.9,9.9,8.9,3,4.5,9.7,78.2
15019,IMAEL NORTH,Wicklow,Mid East,Southern & Eastern Region,Ireland,0.6,-5.1,-4.6,0.6,1.9,-0.7,210,212,235,258,258,136,46,7,0.01,0.01,0,0,0,0,0.1,0.1,36.8,34.9,36.4,5.3,10.7,3.3,26.9,16.2,19.9,17.9,27.2,25.5,36.3,32.8,31,19.5,25.5,13.4,6.5,13.6,0.5,0.5,0.5,4.6,5.1,4.8,1.5,13.9,13.1,79.8
15020,IMAEL SOUTH,Wicklow,Mid East,Southern & Eastern Region,Ireland,2,-14.6,-9.1,2,-8,-5.2,305,349,254,253,253,177,80,18,0.01,0.01,0.01,0,0.01,0.1,-0.3,0,24.1,34.6,33.2,15.4,5,10,24.1,24.6,23.1,15.8,12.8,15.6,26.4,20.9,25.7,18.1,24.4,24.4,10.4,7.1,0.5,0.5,0.5,3.9,2.3,3.5,1.3,3.4,5.9,88.2
15021,KILBRIDE,Wicklow,Mid East,Southern & Eastern Region,Ireland,4.7,-4.5,2,4.7,1.8,5.6,975,982,975,968,968,277,57,5,0.02,0.01,0.01,0,0.01,0,0,0,30.5,35.4,34.9,14,8.7,11.7,13.1,14.5,9.4,34.8,32,36.5,43.5,49.9,49.4,11.5,8.7,12.2,6.7,6.1,0.5,0.5,0.5,0,0.3,0,5.1,8.9,10,87.3
15022,LACKAN,Wicklow,Mid East,Southern & Eastern Region,Ireland,3.9,-4.3,-1.3,3.9,2.2,2.6,756,763,743,805,805,325,97,14,0.02,0.01,0.01,0,0.01,0,0,0.1,28.8,32.6,36.1,14.4,8,10,17.5,17,12.9,34,37.3,39.6,46.7,45.2,46.7,13.2,9.7,12.4,15.6,6.8,0.5,0.5,0.5,0.9,0.8,1.5,9.7,13.5,16.2,79.8
15023,LUGGLASS,Wicklow,Mid East,Southern & Eastern Region,Ireland,2,-6.7,1,2,-0.1,5.8,148,143,155,171,171,48,10,1,0,0,0,0,0,0,0.1,0.1,34.3,31,28.1,19,20,10.5,25,17.1,10.3,25,23.2,37.4,33.6,33.5,35.1,14.9,16,27.2,8.7,10,0.6,0.5,0.5,0,0,2,2.4,6.7,10.2,85.7
15024,RATHDANGAN,Wicklow,Mid East,Southern & Eastern Region,Ireland,-1.7,-6.7,-5.3,-1.7,-0.1,-1.7,396,399,445,460,460,260,93,15,0.01,0.01,0.01,0,0.01,0,0.1,0,38.1,43.4,44.6,17.5,14.9,9.3,24.1,20.2,17.2,27.4,30.8,37.1,35.1,42.2,40.9,23.4,16.9,16.6,13.7,10,0.5,0.5,0.5,2.5,2.1,2.7,5.1,7.9,8.2,87.1
15025,RATHSALLAGH,Wicklow,Mid East,Southern & Eastern Region,Ireland,2.1,-6.5,1,2.1,0.1,5.1,276,283,269,292,292,89,19,2,0.01,0,0,0,0,0,0,0.1,28.3,36.1,34.2,11.5,9.7,14.7,21.8,20.1,11.2,27.7,29.6,42.8,35.3,40.9,47.9,26.2,16.8,15.2,11.3,8.2,0.5,0.5,0.5,1.2,1.2,1.2,4.9,6,9.3,88.4
15026,STRATFORD,Wicklow,Mid East,Southern & Eastern Region,Ireland,-3.8,-9.7,-7.3,-3.8,-3.2,-2.8,362,379,430,468,468,274,133,38,0.01,0.01,0.01,0.01,0.01,0,0.1,0.1,33.2,31.6,33.5,20.6,29,21.4,23,19.2,16.7,20.7,24.6,26.1,31.4,26.3,25.2,21.5,22.6,21.3,13.3,15.7,0.5,0.5,0.5,15.5,11,12.6,7.8,10.5,12.2,74.6
15027,TALBOTSTOWN,Wicklow,Mid East,Southern & Eastern Region,Ireland,-0.2,-5.4,-1.1,-0.2,1.4,3,388,404,395,416,416,160,41,5,0.01,0.01,0,0,0.01,0,0,0.1,30,32.4,36.1,9.3,11.9,14.3,16.1,13.1,12.2,25.3,26.9,29.5,28.7,33.2,37.5,12.5,20.1,22.1,5.9,9.5,0.5,0.5,0.5,4.3,6.3,4.3,8.5,7.8,10.1,82.7
15028,THE GRANGE,Wicklow,Mid East,Southern & Eastern Region,Ireland,-0.6,-7.7,-2.1,-0.6,-1.2,2.1,414,422,419,435,435,181,49,6,0.01,0.01,0,0,0.01,0,0,0,30.8,32.9,34.9,11.5,13,14,17.3,16.3,14.8,27.3,27.3,32,31.3,32,36.8,18.6,17.1,24.6,7.9,10.4,0.5,0.5,0.5,5.8,6.7,8.1,8,7.4,8.1,79.1
15029,TOBER,Wicklow,Mid East,Southern & Eastern Region,Ireland,1.8,-4.5,-1.2,1.8,2,2.8,445,453,524,512,512,200,51,6,0.01,0.01,0,0,0.01,0,0.2,0,33.6,34.9,35.9,6.7,11.8,11.9,11.6,9.8,9.5,34.4,31,38.5,37.1,40.1,41,10.5,10.9,15.1,10.5,5.6,0.5,0.5,0.5,0,0,0,4.5,6.6,9,86.5
15030,TOGHER,Wicklow,Mid East,Southern & Eastern Region,Ireland,-1.1,-7.9,-2.2,-1.1,-1.3,1.8,304,302,332,341,341,146,41,5,0.01,0.01,0,0,0,0,0.1,0,30.5,32.5,37.5,11.1,5.6,10.3,24,21,15.8,19,23.3,32,27.8,36.1,35.2,18.9,24.3,21.6,10.2,3.4,0.5,0.5,0.5,1,0.9,0.9,6.3,7.3,6.4,90
15031,TUCKMILL,Wicklow,Mid East,Southern & Eastern Region,Ireland,1.2,-8.4,-6.8,1.2,-1.7,-3,213,225,246,279,279,172,67,12,0.01,0.01,0.01,0,0.01,0.1,0.1,0.1,34.7,39.8,42.3,11.1,15.2,10.5,20.7,14.2,14.6,23.6,22.3,26.8,31.6,26.4,38.4,13,12.6,17.6,15.1,12.3,0.5,0.4,0.5,1.3,1.1,1.1,5.3,5.7,7.4,86.3
15032,DELGANY,Wicklow,Mid East,Southern & Eastern Region,Ireland,6.4,1.6,5.2,6.4,8.4,9,"4,772","5,115","5,652","5,980",5980,1440,514,123,0.13,0.06,0.05,0.03,0.07,0.1,0.2,0.1,31.2,34.5,36.8,19.6,16.5,14.4,11.9,9.4,7,45.1,45.8,53.2,47.6,54.2,57.2,10.9,9.3,9.1,8.2,8.8,0.5,0.5,0.5,10.2,9,8.4,6.3,12.9,11.9,78.8
15033,ENNISKERRY,Wicklow,Mid East,Southern & Eastern Region,Ireland,6.3,2.5,4.9,6.3,9.5,8.7,"2,732","2,696","2,765","2,910",2910,615,124,12,0.06,0.03,0.01,0,0.03,0,0.1,0.1,34.3,34.6,34.8,14.6,18.4,18.3,11.2,10,9.2,44,45.1,49.7,51.5,54,54.5,9.2,9.8,9.9,7.6,7.4,0.5,0.5,0.5,5,6.3,6.6,6.2,12,11.6,80.3
15034,GREYSTONES,Wicklow,Mid East,Southern & Eastern Region,Ireland,7.1,2.6,5.8,7.1,9.3,9.4,"7,181","7,087","7,151","7,258",7258,1503,337,42,0.15,0.07,0.03,0.01,0.07,0,0,0,33.1,35.2,37.7,16.8,15.6,12,8,6.7,5.3,47.5,47.1,53.8,55.6,58.9,59.2,6.9,6.5,6.6,7.6,6.6,0.5,0.5,0.5,3.3,3.1,2.9,8.2,13.1,11.7,84
15035,KILMACANOGE,Wicklow,Mid East,Southern & Eastern Region,Ireland,1.9,-3.8,-0.7,1.9,2.9,3.6,"13,509","13,798","14,043","14,706",14706,5668,2401,688,0.31,0.25,0.22,0.19,0.24,0,0,0.1,30.2,31,33,25.3,24.6,22.1,13,12,10.2,35.6,33.4,39,37.3,39.1,40.2,15.8,14.8,15,11.9,10,0.5,0.5,0.6,12.6,12.4,12.1,9.9,13.4,13,73.9
15036,POWERSCOURT,Wicklow,Mid East,Southern & Eastern Region,Ireland,5.6,2.9,5.8,5.6,9.9,9.7,742,747,785,788,788,131,20,1,0.02,0.01,0,0,0.01,0,0.1,0,31.5,30.4,31.7,4.9,9.3,11.4,12.4,9.2,7.8,46.3,45.9,51.1,52.9,52.9,54.3,9.2,11.6,11.9,8.1,4.1,0.5,0.4,0.5,0.9,1.2,0.8,3.1,9.9,10.4,84.5
15037,ALTIDORE,Wicklow,Mid East,Southern & Eastern Region,Ireland,4.9,-1.3,-0.1,4.9,5.7,3.5,301,303,363,365,365,133,32,3,0.01,0.01,0,0,0,0,0.2,0,28.7,34.4,37,11.4,7.7,0,19,16.9,13.6,37,35.4,41.1,48.2,43.3,46.8,13.2,15.4,14.6,8.4,10,0.4,0.4,0.4,1.9,0,1.5,6.8,11.1,10.6,83.3
15038,ARKLOW RURAL,Wicklow,Mid East,Southern & Eastern Region,Ireland,-2.1,-7.4,-6.1,-2.1,-1,-2.3,"1,075","1,067","1,310","1,367",1367,798,338,76,0.03,0.04,0.03,0.02,0.03,0,0.2,0,34,35.6,36.7,14.7,15.9,16.3,23.6,17.2,17.5,24.6,26.9,28.3,34.8,37.3,38.9,18.2,11.5,14.4,16.4,12.4,0.5,0.5,0.5,6.1,5.6,5.2,5.4,11.6,11.3,80
15039,AUGHRIM,Wicklow,Mid East,Southern & Eastern Region,Ireland,0.5,-11.1,-6.8,0.5,-4.9,-2.8,"1,300","1,440","1,760","1,858",1858,1060,513,175,0.04,0.05,0.05,0.05,0.05,0.1,1.9,0.1,30,38,41.3,20.5,23.5,19.8,20.7,18.2,14.4,28.5,26.1,32.1,29.1,30.9,35.5,20.8,20.9,20.3,17.8,15.7,0.5,0.5,0.5,10.1,15.7,14.7,6.2,12.5,14,68.6
